inventory	requested inventory update | 
discoveries	discoveries update | 
look	examining tile {'x': 55, 'y': 5, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched' | 
farlook	examining ambiguous feature | 
move	targetting enemy {'x': 58, 'y': 7, 'known': 1, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': |  dir=SE
search	baiting monsters | targetting enemy {'x': 58, 'y': 7, 'known': 2, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': | 
search	baiting monsters | targetting enemy {'x': 58, 'y': 7, 'known': 3, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': | 
search	baiting monsters | targetting enemy {'x': 58, 'y': 7, 'known': 4, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': | 
search	baiting monsters | targetting enemy {'x': 58, 'y': 7, 'known': 5, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': | 
search	baiting monsters | targetting enemy {'x': 58, 'y': 7, 'known': 6, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': | 
move	targetting enemy {'x': 58, 'y': 7, 'known': 7, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': |  dir=E
move	hitting {'x': 58, 'y': 7, 'known': 8, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': {'neuter | targetting enemy {'x': 58, 'y': 7, 'known': 8, 'first-known': 1, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': |  dir=SE
move	new or desired item at {'x': 59, 'y': 6, 'glyph': '!', 'color': 'brown', 'feature': None, 'seen': False, 'dug': False, ' |  dir=SE
move	new or desired item at {'x': 59, 'y': 6, 'glyph': '!', 'color': 'brown', 'feature': None, 'seen': True, 'dug': False, 's |  dir=NE
look	examining tile {'x': 59, 'y': 6, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched' | 
move	exploring {'x': 59, 'y': 5, 'glyph': '.', 'color': None, 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0,  | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=N
move	exploring {'x': 60, 'y': 5, 'glyph': '.', 'color': None, 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0,  | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 61, 'y': 5, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 62, 'y': 5, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 63, 'y': 5, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 64, 'y': 5, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 65, 'y': 5, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 66, 'y': 5, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 67, 'y': 5, 'glyph': '.', 'color': None, 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0,  | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 68, 'y': 6, 'glyph': '.', 'color': None, 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0,  | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=SE
autotravel	exploring {'x': 63, 'y': 6, 'glyph': '#', 'color': None, 'feature': 'corridor', 'seen': True, 'dug': False, 'searched':  | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  pos=(63,6) path=[(67, 5), (66, 5), (65, 5), (64, 5), (63, 6)]
move	exploring {'x': 63, 'y': 7, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=S
move	exploring {'x': 64, 'y': 7, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 65, 'y': 7, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=E
move	exploring {'x': 65, 'y': 8, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=S
move	exploring {'x': 65, 'y': 9, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=S
autotravel	exploring {'x': 61, 'y': 6, 'glyph': '#', 'color': None, 'feature': 'corridor', 'seen': True, 'dug': False, 'searched':  | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  pos=(61,6) path=[(65, 8), (64, 7), (63, 6), (62, 5), (61, 6)]
move	exploring {'x': 61, 'y': 7, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=S
move	exploring {'x': 61, 'y': 8, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=S
move	exploring {'x': 61, 'y': 9, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=S
move	exploring {'x': 60, 'y': 9, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress |  dir=W
